month,day_type,otp,sched_trips,line
2025-01-01,Weekday,0.8421809841534612,47960,BMT (overall)
2025-01-01,Weekend,0.9054159108577352,15436,BMT (overall)
2025-02-01,Weekday,0.8424968995452666,41123,BMT (overall)
2025-02-01,Weekend,0.90217532890452,15354,BMT (overall)
2025-03-01,Weekday,0.8731582040176725,45947,BMT (overall)
2025-03-01,Weekend,0.9174862077236747,16676,BMT (overall)
2025-04-01,Weekday,0.8676181829698287,47363,BMT (overall)
2025-04-01,Weekend,0.9078702266376901,12884,BMT (overall)
2025-05-01,Weekday,0.8667754569190601,45960,BMT (overall)
2025-05-01,Weekend,0.8860052940499482,17378,BMT (overall)
2025-06-01,Weekday,0.8454301953354675,45921,BMT (overall)
2025-06-01,Weekend,0.89396100808369,14721,BMT (overall)
2025-07-01,Weekday,0.8365446571470142,48111,BMT (overall)
2025-07-01,Weekend,0.8835020768431984,15408,BMT (overall)
2025-08-01,Weekday,0.8594909509780032,45143,BMT (overall)
2025-08-01,Weekend,0.8736111111111111,16560,BMT (overall)
2025-09-01,Weekday,0.8602871862325989,45615,BMT (overall)
2025-09-01,Weekend,0.9015667349771931,15127,BMT (overall)
2025-10-01,Weekday,0.8378128269091494,49708,BMT (overall)
2025-10-01,Weekend,0.8839931712868873,12301,BMT (overall)
2025-11-01,Weekday,0.8610996379892611,41159,BMT (overall)
2025-11-01,Weekend,0.898023852048165,17357,BMT (overall)
2025-12-01,Weekday,0.8397192282931489,48153,BMT (overall)
2025-12-01,Weekend,0.8551081895371131,14604,BMT (overall)
