trip_id,trip_id_norm
1100953T,1100953T
1100963T,1100963T
1100969T,1100969T
1100981T,1100981T
1101003H,1101003H
1101005H,1101005H
1101019H,1101019H
1101023T,1101023T
1101029H,1101029H
1101031T,1101031T
1101033T,1101033T
1101039T,1101039T
1101045T,1101045T
1101071T,1101071T
1101091T,1101091T
1101097T,1101097T
1110906H,1110906H
1110908H,1110908H
1110924T,1110924T
1110928T,1110928T
1110956T,1110956T
1110994T,1110994T
1111010H,1111010H
1111014H,1111014H
1111054T,1111054T
1111066T,1111066T
1111074T,1111074T
1111082T,1111082T
1111088T,1111088T
1111092T,1111092T
1200903B,1200903B
1200903C,1200903C
1200931B,1200931B
1200941B,1200941B
1200955Y,1200955Y
1200957B,1200957B
1200973B,1200973B
1200981Y,1200981Y
1201019B,1201019B
1201025B,1201025B
1201035B,1201035B
1201037B,1201037B
1201051B,1201051B
1201075B,1201075B
1201087B,1201087B
1201089B,1201089B
1201099B,1201099B
1210906B,1210906B
1210912B,1210912B
1210938B,1210938B
1210944B,1210944B
1210978B,1210978B
1210984B,1210984B
1210990B,1210990B
1211004C,1211004C
1211014B,1211014B
1211026B,1211026B
1211028B,1211028B
1211042B,1211042B
1211058B,1211058B
1211060B,1211060B
1211064B,1211064B
1211068B,1211068B
1211068Y,1211068Y
15010450,15010450
15110480,15110480
1600627M,1600627M
1601149M,1601149M
1610624M,1610624M
1611162M,1611162M
1611164M,1611164M
1700909S,1700909S
1700913S,1700913S
1700923K,1700923K
1711008K,1711008K
1711010K,1711010K
1711046S,1711046S
1800009M,1800009M
1800057M,1800057M
1801051H,1801051H
1801089H,1801089H
1801151M,1801151M
1801153M,1801153M
1801155M,1801155M
1810006M,1810006M
1810062M,1810062M
1810358M,1810358M
1811032H,1811032H
1811084H,1811084H
1811154M,1811154M
1811160M,1811160M
1813156M,1813156M
2101065H,2101065H
2110974H,2110974H
2200837B,2200837B
2200905A,2200905A
2200911A,2200911A
2200915A,2200915A
2200933A,2200933A
2200945A,2200945A
2200945B,2200945B
2200947A,2200947A
2200947B,2200947B
2200949B,2200949B
2200955B,2200955B
2200973C,2200973C
2201012K,2201012K
2201013A,2201013A
2201015B,2201015B
2201017A,2201017A
2201017B,2201017B
2201019B,2201019B
2201023A,2201023A
2201057B,2201057B
2201071C,2201071C
2201077C,2201077C
2210818A,2210818A
2210922B,2210922B
2210924A,2210924A
2210926A,2210926A
2210928A,2210928A
2210928B,2210928B
2210938A,2210938A
2210942A,2210942A
2210964C,2210964C
2210970A,2210970A
2210978C,2210978C
2211010B,2211010B
2211012B,2211012B
2211026B,2211026B
2211032B,2211032B
2211040B,2211040B
2211060C,2211060C
2211062A,2211062A
2211074C,2211074C
2211080C,2211080C
2300965E,2300965E
2301009Y,2301009Y
2301010E,2301010E
2301021A,2301021A
2301023Y,2301023Y
2301035Y,2301035Y
2301048E,2301048E
2310907E,2310907E
2310947E,2310947E
2311010A,2311010A
2311012Y,2311012Y
2311016A,2311016A
2311018Y,2311018Y
2311030Y,2311030Y
2500953E,2500953E
2500971E,2500971E
2501009E,2501009E
2501017E,2501017E
2501029E,2501029E
2501067E,2501067E
2501079E,2501079E
2501085E,2501085E
2510904E,2510904E
2510926E,2510926E
2510942E,2510942E
2510956E,2510956E
2510968E,2510968E
2511038E,2511038E
2511062E,2511062E
2511080E,2511080E
2600933F,2600933F
2601013F,2601013F
2601031F,2601031F
2601037F,2601037F
2601039F,2601039F
2601041F,2601041F
2601047F,2601047F
2604021F,2604021F
2610950F,2610950F
2611002F,2611002F
2611016F,2611016F
2611026F,2611026F
2611060F,2611060F
2611064F,2611064F
2614010F,2614010F
2614028F,2614028F
2800913H,2800913H
2800937T,2800937T
2800977T,2800977T
28010110,28010110
28110120,28110120
2811042T,2811042T
2811050T,2811050T
3000921K,3000921K
3000947F,3000947F
3000949F,3000949F
3000983F,3000983F
3001003K,3001003K
3001025K,3001025K
3001059K,3001059K
3001065F,3001065F
3001081K,3001081K
3010968F,3010968F
3011022K,3011022K
