station_en,station_ja,fy2023_noncommute,fy2023_commute,fy2023_total,fy2023_yoy_pct,fy2024_noncommute,fy2024_commute,fy2024_total,fy2024_yoy_pct
Shinjuku,新宿,326731,323870,650602,108.0,336631,330178,666809,102.5
Ikebukuro,池袋,222760,267173,489933,106.8,229134,269994,499128,101.9
Shibuya,渋谷,166958,147100,314059,107.3,173860,150553,324414,103.3
Shinagawa,品川,140860,133360,274221,110.3,148317,139622,287939,105.0
Yurakucho,有楽町,62316,63215,125532,107.5,62576,64296,126872,101.1
Ebisu,恵比寿,63552,57551,121103,107.5,66315,59695,126010,104.1
Tamachi,田町,43535,75820,119356,109.2,44942,80913,125855,105.4
Osaki,大崎,56078,78448,134526,113.5,60247,84946,145194,107.9
Hamamatsucho,浜松町,53917,72749,126667,112.2,57611,76291,133902,105.7
Ueno,上野,93888,68666,162555,110.0,100106,69935,170042,104.6
Nishi-Nippori,西日暮里,36674,51465,88139,104.6,37672,51934,89606,101.7
Nippori,日暮里,48300,53842,102143,110.1,51756,55321,107077,104.8
Meguro,目黒,44993,45608,90602,108.2,46134,47249,93384,103.1
Sugamo,巣鴨,27885,37890,65775,103.7,28727,38433,67160,102.1
Komagome,駒込,18424,24295,42719,104.4,19227,24312,43540,101.9
Harajuku,原宿,46818,18166,64985,112.6,49265,18141,67407,103.7
Yoyogi,代々木,29746,24957,54704,107.1,30901,25681,56582,103.4
Shin-Okubo,新大久保,30566,16159,46726,107.3,32485,16760,49246,105.4
Gotanda,五反田,48323,59316,107639,105.0,50264,60057,110321,102.5
Otsuka,大塚,25433,26819,52252,107.7,26718,27633,54351,104.0
Oji,王子,21138,35801,56939,105.3,22224,36633,58858,103.4
Tabata,田端,NA,NA,39231,NA,NA,NA,NA,NA
Kanda,神田,39849,48030,87879,108.4,41353,49174,90528,103.0
Ochanomizu,御茶ノ水,33349,52607,85957,107.3,34532,53831,88364,102.8
Yotsuya,四ツ谷,30418,55508,85926,108.1,31589,57347,88937,103.5
Shimbashi,新橋,96844,122268,219113,113.4,102055,129573,231628,105.7
Akihabara,秋葉原,120819,91179,211998,111.3,127226,94194,221421,104.4
Okachimachi,御徒町,30773,30079,60852,108.9,32403,30581,62984,103.5
Iidabashi,飯田橋,25131,40887,66019,106.4,26408,42001,68409,103.6
Ichigaya,市ケ谷,17334,32139,49474,106.8,18033,33018,51052,103.2
