stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_name_en,stop_name_display
4201,JY24,大崎,NA,35.61994,139.72824,4201,NA,0,NA,NA,NA,Osaki,Osaki
4202,JY23,五反田,NA,35.62626,139.72349,4202,NA,0,NA,NA,NA,Gotanda,Gotanda
4203,JY22,目黒,NA,35.63294,139.7159,4203,NA,0,NA,NA,NA,Meguro,Meguro
4204,JY21,恵比寿,NA,35.64668,139.71012,4204,NA,0,NA,NA,NA,Ebisu,Ebisu
4205,JY20,渋谷,NA,35.65815,139.70175,4205,NA,0,NA,NA,NA,Shibuya,Shibuya
4206,JY19,原宿,NA,35.67131,139.70273,4206,NA,0,NA,NA,NA,Harajuku,Harajuku
4207,JY18,代々木,NA,35.6838,139.70221,4207,NA,0,NA,NA,NA,Yoyogi,Yoyogi
4208,JY17,新宿,NA,35.6895,139.7009,4208,NA,0,NA,NA,NA,Shinjuku,Shinjuku
4209,JY16,新大久保,NA,35.70093,139.70026,4209,NA,0,NA,NA,NA,Shin-Okubo,Shin-Okubo
4210,JY15,高田馬場,NA,35.7129,139.70382,4210,NA,0,NA,NA,NA,Takadanobaba,Takadanobaba
4211,JY14,目白,NA,35.72039,139.70628,4211,NA,0,NA,NA,NA,Mejiro,Mejiro
4212,JY13,池袋,NA,35.73028,139.71108,4212,NA,0,NA,NA,NA,Ikebukuro,Ikebukuro
4213,JY12,大塚,NA,35.73178,139.72794,4213,NA,0,NA,NA,NA,Otsuka,Otsuka
4214,JY11,巣鴨,NA,35.73372,139.74035,4214,NA,0,NA,NA,NA,Sugamo,Sugamo
4215,JY10,駒込,NA,35.73686,139.74806,4215,NA,0,NA,NA,NA,Komagome,Komagome
4216,JY09,田端,NA,35.73748,139.76158,4216,NA,0,NA,NA,NA,Tabata,Tabata
4217,JY08,西日暮里,NA,35.73208,139.76678,4217,NA,0,NA,NA,NA,Nishi-Nippori,Nishi-Nippori
4218,JY07,日暮里,NA,35.7276,139.77117,4218,NA,0,NA,NA,NA,Nippori,Nippori
4219,JY06,鶯谷,NA,35.72146,139.77803,4219,NA,0,NA,NA,NA,Uguisudani,Uguisudani
4220,JY05,上野,NA,35.71376,139.77706,4220,NA,0,NA,NA,NA,Ueno,Ueno
4221,JY04,御徒町,NA,35.7072,139.77472,4221,NA,0,NA,NA,NA,Okachimachi,Okachimachi
4222,JY03,秋葉原,NA,35.69854,139.77304,4222,NA,0,NA,NA,NA,Akihabara,Akihabara
4223,JY02,神田,NA,35.69177,139.77088,4223,NA,0,NA,NA,NA,Kanda,Kanda
4224,JY01,東京,NA,35.68116,139.76713,4224,NA,0,NA,NA,NA,Tokyo,Tokyo
4225,JY30,有楽町,NA,35.67504,139.76326,4225,NA,0,NA,NA,NA,Yurakucho,Yurakucho
4226,JY29,新橋,NA,35.6663,139.75846,4226,NA,0,NA,NA,NA,Shimbashi,Shimbashi
4227,JY28,浜松町,NA,35.65541,139.75712,4227,NA,0,NA,NA,NA,Hamamatsucho,Hamamatsucho
4228,JY27,田町,NA,35.64574,139.7476,4228,NA,0,NA,NA,NA,Tamachi,Tamachi
4229,JY26,高輪ゲートウェイ,NA,35.63538,139.74064,4229,NA,0,NA,NA,NA,Takanawa Gateway,Takanawa Gateway
4230,JY25,品川,NA,35.62814,139.73854,4230,NA,0,NA,NA,NA,Shinagawa,Shinagawa
