day_type,hour,scheduled_departures,ref_stop
Weekday,0,14,Shinjuku
Weekday,4,2,Shinjuku
Weekday,5,11,Shinjuku
Weekday,6,23,Shinjuku
Weekday,7,35,Shinjuku
Weekday,8,35,Shinjuku
Weekday,9,32,Shinjuku
Weekday,10,27,Shinjuku
Weekday,11,24,Shinjuku
Weekday,12,24,Shinjuku
Weekday,13,24,Shinjuku
Weekday,14,24,Shinjuku
Weekday,15,24,Shinjuku
Weekday,16,26,Shinjuku
Weekday,17,31,Shinjuku
Weekday,18,32,Shinjuku
Weekday,19,31,Shinjuku
Weekday,20,26,Shinjuku
Weekday,21,25,Shinjuku
Weekday,22,22,Shinjuku
Weekday,23,21,Shinjuku
Weekend,0,13,Shinjuku
Weekend,4,2,Shinjuku
Weekend,5,10,Shinjuku
Weekend,6,15,Shinjuku
Weekend,7,23,Shinjuku
Weekend,8,26,Shinjuku
Weekend,9,26,Shinjuku
Weekend,10,27,Shinjuku
Weekend,11,29,Shinjuku
Weekend,12,32,Shinjuku
Weekend,13,32,Shinjuku
Weekend,14,33,Shinjuku
Weekend,15,31,Shinjuku
Weekend,16,35,Shinjuku
Weekend,17,32,Shinjuku
Weekend,18,29,Shinjuku
Weekend,19,24,Shinjuku
Weekend,20,25,Shinjuku
Weekend,21,22,Shinjuku
Weekend,22,22,Shinjuku
Weekend,23,19,Shinjuku
